T,Radii,Rg_squared
0.0,3.23778375,10.992392066666667
0.05,3.039761642857143,9.663437700000001
0.1,2.739663442857143,7.590297157142857
0.15,2.7766542,7.7308691000000005
0.2,2.6976838571428567,7.306272285714286
0.25,2.638943128571429,7.002392628571428
0.3,2.667742185714286,7.130882485714286
0.35,2.6790849,7.262221871428571
0.4,2.721858957142857,7.4609932
0.45,2.698570057142857,7.298834742857143
0.5,2.8639507714285712,8.31380057142857
0.55,2.7825642571428575,7.804036014285714
0.6,2.9102751285714286,8.618285928571428
0.65,3.107805628571428,9.917344714285715
0.7,3.493141557142857,12.550905428571427
0.75,3.4964678142857144,12.708589142857145
0.8,3.7154893285714286,14.348155142857141
0.85,3.8935560000000002,15.854965285714286
0.9,3.936985485714285,16.086682285714286
0.95,4.323633128571428,19.444332142857142
1.0,4.378109242857143,20.00033557142857
1.05,4.437115314285714,20.523939000000002
1.1,4.485477071428571,20.97588185714286
1.15,4.557374814285714,21.61904642857143
1.2,4.629705199999999,22.177093000000003
1.25,4.5934282714285715,21.86475557142857
1.3,4.648330971428572,22.351527857142855
1.35,4.610835714285714,21.964983
1.4,4.621609,22.067448000000002
1.45,4.651060957142858,22.344431857142858
1.5,4.6549744,22.362078285714286
1.55,4.628525014285715,22.192128999999998
1.6,4.564401042857143,21.50787
1.65,4.669811857142856,22.535158285714285
1.7,4.660445957142857,22.462247428571427
1.75,4.668814028571428,22.495749999999997
1.8,4.564153157142857,21.55172428571429
1.85,4.566221285714286,21.56551771428571
1.9,4.614165085714285,21.988458285714284
1.95,4.6368371,22.24026342857143
