T,Avg_Potential_Energy
0.0,-55.55596129923216
0.05,-44.3060537675355
0.25,-24.294564636100727
0.45,-16.346510069802992
0.55,-7.058589949369835
0.65,13.524009922815315
0.75,32.98219133252658
1.05,69.53365136090802
1.25,82.30112626846719
1.35,89.05834734659236
1.55,98.37176029690907
1.75,109.44828139442019
1.85,114.00672992602847
