T,Cv
0.05,140.47977856766101
0.1,142.06644643509617
0.15000000000000002,140.5285430126316
0.2,143.3076757213837
0.25,151.95507044373187
0.30000000000000004,152.83596705704605
0.35000000000000003,168.26507298309684
0.4,201.40944856485166
0.45,207.87931186250412
0.5,235.1029762673955
0.55,196.5279625882988
0.6000000000000001,244.6093698177225
0.65,258.6629995033541
0.7000000000000001,256.9429567306487
0.75,206.97875092230277
0.8,180.77760109255263
0.8500000000000001,172.7999276301893
0.9,167.961179843742
0.9500000000000001,146.54116717607215
1.0,154.7477758925822
1.05,142.01536926185406
1.1,147.93490246412443
1.1500000000000001,135.18875791023018
1.2000000000000002,133.96556957583329
1.25,129.45498001825382
1.3,130.44893412904787
1.35,125.11764375993332
1.4000000000000001,126.4406625599969
1.4500000000000002,126.07580047173613
1.5,121.67963273766952
1.55,122.68686217222057
1.6,117.6162425072246
1.6500000000000001,119.57067021409586
1.7000000000000002,117.85941333256763
1.75,119.11046286130055
1.8,116.3136147919711
1.85,118.69753325093407
1.9000000000000001,115.16726883648789
1.9500000000000002,114.86370201300747
