T,Energia_Potencial_Prom
0.05,-38.731264003684274
0.25,-30.49930616687566
0.45,-14.810587581226716
0.55,-3.748130216759901
0.65,15.25834847794083
0.75,35.927606561248794
1.05,69.40675985332152
1.25,82.69021782781881
1.35,88.80916838743197
1.55,98.70299576210196
1.75,109.29175486935036
1.85,114.06172719522684
